date,open,high,low,close,volume,amount
2025-10-30,76.1919,76.3885,72.3086,73.39,40157485.0,3026992129.0
2025-10-31,72.8984,73.1934,70.9814,71.1288,27234999.0,1984322771.0
2025-11-03,70.7847,72.7018,70.3915,72.2103,28694776.0,2090262569.0
2025-11-04,70.883,72.3577,69.9491,70.244,23012844.0,1658880641.0
2025-11-05,68.8185,69.9982,67.6879,69.7525,29582205.0,2074719817.0
2025-11-06,70.1949,71.6695,69.5067,71.3255,19658320.0,1417335776.0
2025-11-07,70.2932,70.6373,66.3607,67.098,51425431.0,3534178037.0
2025-11-10,67.2947,68.8676,66.7539,68.6219,27658165.0,1911927388.0
2025-11-11,69.1134,69.7033,67.5404,68.3269,14666406.0,1020255219.0
2025-11-12,68.9168,69.605,67.4421,68.5236,19881998.0,1382690662.0
2025-11-13,67.098,69.0151,66.7048,67.9337,30318325.0,2086859296.0
2025-11-14,66.3607,66.9014,65.2301,65.9674,34231271.0,2301214901.0
2025-11-17,65.3776,66.6065,64.9843,65.6725,22374156.0,1493334095.0
2025-11-18,64.6894,64.9352,62.674,63.5588,36505783.0,2363865949.0
2025-11-19,63.5588,63.8046,61.7892,62.4282,30697647.0,1950984724.0
2025-11-20,64.0012,65.1809,62.7723,63.8537,48063412.0,3119107074.0
2025-11-21,62.7723,64.3944,61.3468,62.9198,38454102.0,2452169874.0
2025-11-24,63.9029,67.7371,63.9029,67.393,67219569.0,4550737275.0
2025-11-25,68.4744,70.539,68.4252,69.4575,50615478.0,3568005517.0
2025-11-26,70.2932,70.2932,67.1963,67.4913,31216259.0,2159268843.0
2025-11-27,67.7862,68.8185,66.7539,67.2455,24638073.0,1693546069.0
2025-11-28,67.2455,67.7371,66.5573,66.6556,18946864.0,1289192691.0
2025-12-01,67.098,67.9337,66.3607,67.1963,15785474.0,1077724029.0
2025-12-02,69.3101,70.7356,67.4421,67.7862,46497088.0,3263906985.0
2025-12-03,66.8523,68.4252,65.9674,66.2624,29242095.0,1978793351.0
2025-12-04,66.3115,66.7539,64.886,66.3607,29196862.0,1956204719.0
2025-12-05,66.3607,68.032,65.4267,68.032,29058269.0,1986571828.0
2025-12-08,67.5896,68.3269,66.9506,67.098,20534664.0,1407857935.0
2025-12-09,66.3607,66.9014,65.1809,65.525,25274683.0,1686870525.0
2025-12-10,65.525,66.2132,64.3944,66.0166,20220199.0,1344399027.0
2025-12-11,66.7048,66.8523,65.2301,65.6233,24385473.0,1630643697.0
2025-12-12,66.6556,67.4421,65.525,66.3115,32330909.0,2192298940.0
2025-12-15,65.1809,65.2793,62.9198,63.3622,36792404.0,2385423946.0
2025-12-16,63.2639,63.5588,61.9366,63.0181,21674866.0,1380785569.0
2025-12-17,63.313,64.4436,62.5757,64.0995,19026047.0,1233320200.0
2025-12-18,63.0181,64.5419,62.9689,64.247,15134025.0,983327552.0
2025-12-19,65.0826,65.4759,64.2961,65.1809,21113784.0,1396466048.0
2025-12-22,65.7217,66.0658,64.886,65.5742,12582187.0,838242926.0
2025-12-23,63.4113,63.608,61.6417,63.2639,60345906.0,3854509671.0
2025-12-24,63.2639,63.8046,62.7723,63.5096,10596186.0,681833916.0
2025-12-29,63.6571,65.2301,62.7231,62.7231,22217367.0,1443627879.0
2025-12-30,62.379,63.6571,62.2807,63.4113,13797838.0,886316376.0
2025-12-31,62.7231,63.2147,62.2316,62.8706,10738145.0,684339155.0
2026-01-02,62.7723,65.5742,62.5265,65.1318,17459733.0,1150075529.0
2026-01-05,68.966,73.9799,67.393,72.3577,135106867.0,9897960794.0
